id,title,vote_average,vote_count,revenue,budget,popularity,genres,release_date,imdb_id,production_countries,original_language,ROI
285,Pirates of the Caribbean: At World's End,7.239,13345,961000000,300000000,81.883,"Adventure, Fantasy, Action",2007-05-19,tt0449088,United States of America,en,2.203333333333333
122917,The Hobbit: The Battle of the Five Armies,7.309,13301,956019788,250000000,94.048,"Action, Adventure, Fantasy",2014-12-10,tt2310332,"New Zealand, United States of America",en,2.824079152
500,Reservoir Dogs,8.132,13296,2859750,1200000,34.018,"Crime, Thriller",1992-09-02,tt0105236,United States of America,en,1.383125
273248,The Hateful Eight,7.746,13291,155760117,44000000,32.119,"Drama, Mystery, Western",2015-12-25,tt3460252,United States of America,en,2.5400026590909093
348,Alien,8.147,13206,104931801,11000000,72.767,"Horror, Science Fiction",1979-05-25,tt0078748,"United States of America, United Kingdom",en,8.539254636363637
10528,Sherlock Holmes,7.202,13170,524028679,90000000,35.808,"Action, Adventure, Crime, Mystery",2009-12-23,tt0988045,"Australia, Germany, United Kingdom, United States of America",en,4.822540877777778
12155,Alice in Wonderland,6.627,13149,1025467110,200000000,56.345,"Family, Fantasy, Adventure",2010-03-03,tt1014759,United States of America,en,4.12733555
1865,Pirates of the Caribbean: On Stranger Tides,6.538,13126,1045713802,379000000,79.192,"Adventure, Action, Fantasy",2011-05-15,tt1298650,"United Kingdom, United States of America",en,1.7591393192612137
559,Spider-Man 3,6.398,13098,894983373,258000000,61.149,"Fantasy, Action, Adventure",2007-05-01,tt0413300,United States of America,en,2.4689278023255814
447332,A Quiet Place,7.396,13079,341000000,17000000,38.002,"Horror, Drama, Science Fiction",2018-04-03,tt6644200,United States of America,en,19.058823529411764
297802,Aquaman,6.9,12965,1148528393,160000000,52.471,"Action, Adventure, Fantasy",2018-12-07,tt1477834,United States of America,en,6.17830245625
393,Kill Bill: Vol. 2,7.876,12916,152159461,30000000,37.053,"Action, Crime, Thriller",2004-04-16,tt0378194,United States of America,en,4.071982033333334
920,Cars,6.936,12906,461983149,120000000,47.447,"Animation, Adventure, Comedy, Family",2006-06-08,tt0317219,United States of America,en,2.849859575
863,Toy Story 2,7.589,12904,497366869,90000000,73.516,"Animation, Comedy, Family",1999-10-30,tt0120363,United States of America,en,4.526298544444445
607,Men in Black,7.184,12836,589390539,90000000,38.848,"Action, Adventure, Comedy, Science Fiction",1997-07-02,tt0119654,United States of America,en,5.548783766666666
137113,Edge of Tomorrow,7.606,12828,370541256,178000000,51.408,"Action, Science Fiction",2014-05-27,tt1631867,United States of America,en,1.0816924494382023
1271,300,7.175,12812,456082343,65000000,44.918,"Action, Adventure, War",2007-03-07,tt0416449,"Bulgaria, Canada, United States of America",en,6.0166514307692305
353486,Jumanji: Welcome to the Jungle,6.827,12796,995339117,90000000,26.669,"Adventure, Action, Comedy, Fantasy",2017-12-09,tt2283362,United States of America,en,10.059323522222222
78,Blade Runner,7.931,12770,41722424,28000000,56.798,"Science Fiction, Drama, Thriller",1982-06-25,tt0083658,"United States of America, Hong Kong, United Kingdom",en,0.4900865714285714
1895,Star Wars: Episode III - Revenge of the Sith,7.411,12753,850000000,113000000,41.215,"Adventure, Action, Science Fiction",2005-05-17,tt0121766,United States of America,en,6.522123893805309
324786,Hacksaw Ridge,8.195,12668,175302354,40000000,74.994,"Drama, History, War",2016-10-07,tt2119532,"Australia, China, United Kingdom, United States of America",en,3.38255885
8966,Twilight,6.286,12638,393616788,37000000,71.541,"Fantasy, Drama, Romance",2008-11-20,tt1099212,United States of America,en,9.638291567567567
62177,Brave,7.012,12591,538983207,185000000,58.647,"Animation, Adventure, Comedy, Family, Action, Fantasy",2012-06-21,tt1217209,United States of America,en,1.9134227405405406
363088,Ant-Man and the Wasp,6.951,12512,622674139,140000000,34.801,"Action, Adventure, Science Fiction",2018-07-04,tt5095030,United States of America,en,3.4476724214285714
102651,Maleficent,7.09,12477,758539785,180000000,51.055,"Fantasy, Adventure, Action, Family, Romance",2014-05-28,tt1587310,United States of America,en,3.2141099166666667
274870,Passengers,6.934,12429,303144152,110000000,27.272,"Drama, Romance, Science Fiction",2016-12-21,tt1355644,United States of America,en,1.7558559272727272
87827,Life of Pi,7.398,12426,609016565,120000000,37.796,"Adventure, Drama",2012-11-20,tt0454876,"Canada, India, Taiwan, United Kingdom, United States of America",en,4.0751380416666665
264660,Ex Machina,7.572,12362,36869414,15000000,26.767,"Drama, Science Fiction",2015-01-21,tt0470752,"United Kingdom, United States of America",en,1.4579609333333334
102382,The Amazing Spider-Man 2,6.498,12349,708962323,200000000,73.319,"Action, Adventure, Fantasy",2014-04-16,tt1872181,United States of America,en,2.544811615
335984,Blade Runner 2049,7.544,12331,259239658,150000000,70.54,"Science Fiction, Drama",2017-10-04,tt1856101,"Canada, Hungary, Mexico, Spain, United Kingdom, United States of America",en,0.7282643866666667
425,Ice Age,7.348,12296,383257136,59000000,70.773,"Animation, Comedy, Family, Adventure",2002-03-10,tt0268380,United States of America,en,5.495883661016949
1894,Star Wars: Episode II - Attack of the Clones,6.6,12288,649398328,120000000,42.55,"Adventure, Action, Science Fiction",2002-05-15,tt0121765,United States of America,en,4.411652733333334
141052,Justice League,6.098,12263,657926987,300000000,91.091,"Action, Adventure, Science Fiction",2017-11-15,tt0974015,"Canada, United Kingdom, United States of America",en,1.1930899566666666
